,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
147, The Walking Dead,(2010–2022),TV-MA,50 min,"Drama, Horror, Thriller",9.3,Not Available,"8,144"
148,Methagu,(2021),Not Available,100 min,"Biography, History",9.8,Not Available,"8,047"
149,Finding 'Ohana,(2021),PG,123 min,"Action, Adventure, Comedy",6.1,69,"8,023"
150,Sherni,(2021),Not Available,131 min,Drama,6.9,Not Available,"7,800"
151,Ferry,(2021),TV-MA,106 min,"Action, Crime, Drama",7.0,Not Available,"7,607"
152,The Married Woman,(2021– ),Not Available,30 min,"Drama, Romance",9.3,Not Available,"7,570"
153,Mumbai Saga,(2021),Not Available,135 min,"Action, Crime",6.1,Not Available,"7,446"
154,The Girl on the Train,(2021),TV-MA,120 min,"Crime, Drama, Mystery",4.4,Not Available,"7,402"
155," Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy",8.1,Not Available,"7,346"
156,Pagglait,(2021),TV-14,114 min,"Comedy, Drama",6.9,Not Available,"7,328"
157, Invincible,(2021– ),TV-MA,45 min,"Animation, Action, Adventure",9.7,Not Available,"7,316"
158,The Equalizer,(2021– ),TV-14,Not Available,"Action, Crime, Drama",4.8,Not Available,"7,299"
159,Vincenzo,(2021– ),Not Rated,80 min,"Comedy, Crime, Romance",8.6,Not Available,"7,116"
160,Cosmic Sin,(2021),R,88 min,"Action, Adventure, Sci-Fi",2.5,9,"6,978"
161,Sandeep Aur Pinky Faraar,(2021),Not Available,125 min,"Comedy, Crime, Drama",6.3,Not Available,"6,971"
162, Aspirants,(2021– ),Not Available,46 min,Drama,9.6,Not Available,"6,966"
163,Kaagaz,(2021),Not Available,109 min,"Biography, Comedy, Drama",7.5,Not Available,"6,932"
164, Invincible,(2021– ),TV-MA,48 min,"Animation, Action, Adventure",9.6,Not Available,"6,885"
165,Sunflower,(2021– ),Not Available,36 min,"Comedy, Crime",7.6,Not Available,"6,878"
166," Love, Death & Robots",(2019– ),TV-MA,12 min,"Animation, Short, Comedy",6.5,Not Available,"6,827"
167,Sex/Life,(2021– ),TV-MA,Not Available,"Comedy, Drama, Romance",5.5,Not Available,"6,794"
168,Sentinelle,(2021),TV-MA,80 min,"Action, Crime, Drama",4.7,Not Available,"6,690"
169,Clarice,(2021– ),TV-14,60 min,"Crime, Drama, Mystery",6.5,Not Available,"6,676"
170,Young Royals,(2021– ),TV-MA,50 min,"Drama, Romance",8.5,Not Available,"6,674"
171,Debris,(2021),TV-PG,Not Available,"Drama, Mystery, Sci-Fi",6.5,Not Available,"6,635"
172," Love, Death & Robots",(2019– ),TV-MA,18 min,"Animation, Short, Comedy",7.9,Not Available,"6,580"
173,Joji,(2021),Not Available,113 min,"Crime, Drama",7.9,Not Available,"6,577"
174,Roohi,(2021),Not Available,134 min,"Comedy, Horror",4.3,Not Available,"6,565"
175,Operation Varsity Blues,(2021),R,99 min,"Documentary, Crime, Drama",7.0,70,"6,552"
176, Rick and Morty,(2013– ),TV-14,Not Available,"Animation, Adventure, Comedy",9.1,Not Available,"6,527"
177,Katla,(2021– ),TV-MA,Not Available,"Drama, Mystery, Sci-Fi",7.1,Not Available,"6,500"
178," Love, Death & Robots",(2019– ),TV-MA,13 min,"Animation, Short, Comedy",6.1,Not Available,"6,474"
179,Music,(2021),PG-13,107 min,"Drama, Musical",3.1,23,"6,424"
180,The Mosquito Coast,(2021– ),TV-MA,Not Available,"Adventure, Drama, Thriller",7.0,Not Available,"6,391"
181,Tell Me Your Secrets,(I) (2021– ),TV-14,Not Available,"Crime, Drama, Mystery",7.4,Not Available,"6,373"
182,Fatma,(2021– ),TV-MA,40 min,"Crime, Drama, Thriller",7.5,Not Available,"6,373"
183,SAS: Red Notice,(2021),R,124 min,"Action, Thriller",4.9,Not Available,"6,342"
184,Bang Baang,(2021– ),Not Available,18 min,"Action, Thriller",6.8,Not Available,"6,327"
185,Good on Paper,(2021),R,92 min,"Comedy, Romance",5.6,54,"6,303"
186, Invincible,(2021– ),TV-MA,47 min,"Animation, Action, Adventure",9.0,Not Available,"6,301"
187,Sky Rojo,(2021– ),TV-MA,31 min,"Action, Adventure, Crime",6.5,Not Available,"6,286"
188,Snabba Cash,(2021– ),TV-MA,52 min,"Action, Crime, Drama",7.6,Not Available,"6,269"
189,Walker,(2021– ),TV-14,Not Available,"Action, Crime, Drama",5.9,Not Available,"6,207"
190, The Walking Dead,(2010–2022),TV-14,43 min,"Drama, Horror, Thriller",4.0,Not Available,"6,138"
191,Hacks,(2021– ),TV-MA,30 min,"Comedy, Drama",8.3,Not Available,"6,088"
192,Dracula,(2021– ),Not Available,Not Available,"Comedy, Drama",8.8,Not Available,"6,047"
193, The New York Times Presents,(2020– ),TV-MA,74 min,Documentary,6.9,Not Available,"6,032"
194, Aspirants,(2021– ),Not Available,38 min,Drama,9.6,Not Available,"6,011"
195,Crisis,(2021),R,118 min,"Drama, Thriller",6.1,41,"6,001"
196,Jathi Ratnalu,(2021),Not Available,145 min,Comedy,7.6,Not Available,"5,967"
197, The Family Man,(2019– ),TV-14,Not Available,"Action, Comedy, Drama",9.3,Not Available,"5,925"
198,Allen v. Farrow,(2021),TV-MA,256 min,"Documentary, Biography, Crime",6.4,Not Available,"5,920"
199,Billie Eilish: The World's a Little Blurry,(2021),R,140 min,"Documentary, Biography, Music",7.8,70,"5,917"
200," Love, Death & Robots",(2019– ),TV-MA,7 min,"Animation, Short, Comedy",7.4,Not Available,"5,897"
201,The Pembrokeshire Murders,(2021),TV-14,144 min,"Crime, Drama",7.1,Not Available,"5,809"
202,Ray,(2021– ),TV-14,65 min,"Crime, Drama, Thriller",7.4,Not Available,"5,770"
203," Love, Death & Robots",(2019– ),TV-MA,11 min,"Animation, Short, Comedy",7.0,Not Available,"5,765"
204,The Great Indian Kitchen,(2021),Not Available,100 min,"Comedy, Drama",8.3,Not Available,"5,759"
205,Pretend It's a City,(2021),TV-14,203 min,"Documentary, Biography, Comedy",8.1,Not Available,"5,745"
206, Aspirants,(2021– ),Not Available,49 min,Drama,9.7,Not Available,"5,735"
